activation_reconstruction_error,added_bits_over_q,added_scalars_over_q,all_requested_components_active,allocation_id,allocation_source,artifact_file_bytes,base_codes_padding_bits,base_codes_raw_bits,base_codes_stored_bits,base_scales_padding_bits,base_scales_raw_bits,base_scales_stored_bits,baseline_hessian_energy,both_s_and_l_active,cancellation_gain_ql_over_q,cancellation_gain_qs_over_q,candidate_lowrank_factor_bits,cols,comparison_budget_bits,comparison_budget_file_bytes,component_scale_labels,component_scale_multipliers,compression_ratio,eligible_for_global_allocator,folded_repair_dof,folded_zero_bit_hessian_gain,forced_default_family,fp16_accumulation_rounding_l2,global_allocator_candidate_pool_asymmetry,global_allocator_frontier_coarsened,global_allocator_optimality_scope,global_allocator_selected,global_allocator_selection_source,global_control_allocation_state,global_control_budget_multipliers,global_control_local_max_support_nnz,global_control_natural_file_bytes,global_control_support_nnz,global_control_unused_natural_bytes,global_cross_layer_borrowing_candidate,global_local_ql_repair_budget_multiplier,global_nonjoint_control,global_nonjoint_source_family,global_q_l_cap_natural_file_bytes,global_qsl_natural_file_bytes,global_qsl_unused_natural_bytes,global_single_component_control,hessian_cost,hessian_cross_ql,hessian_cross_qs,hessian_cross_sl,hessian_decomposition_residual,hessian_gain_over_q,hessian_gain_per_added_bit,hessian_gain_per_added_scalar,hessian_recovery_fraction_over_q,hessian_self_l,hessian_self_q,hessian_self_s,heterogeneous_quantizer_candidate,joint_component_constraint,l_active,layer,logical_max_sparse_nnz_before_serialized_cap,lowrank_factor_bits,lowrank_factor_quantizer,lowrank_factor_scale_count,lowrank_factors_padding_bits,lowrank_factors_raw_bits,lowrank_factors_stored_bits,lowrank_rank,lowrank_scales_padding_bits,lowrank_scales_raw_bits,lowrank_scales_stored_bits,metadata_padding_bits,metadata_raw_bits,metadata_stored_bits,normalized_hessian_cost,obs_applied,obs_continuous_cost,obs_fp16_rounding_cost_gap,obs_reason,obs_relative_stationarity_continuous,obs_relative_stationarity_stored,obs_rhs_null_residual_max,obs_stored_cost,obs_unique_support_count,payload_bits,payload_ratio,q_active,q_bits,q_col_block_size,q_only_hessian_cost,q_only_payload_bits,q_only_payload_ratio,q_only_proxy_rank,q_quantizer,q_reference_bits,q_reference_cost,q_scale_count,rate_cap_strategy,reference_bits,repair_padding_bits,repair_raw_bits,repair_stored_bits,residual_order,rho_ql,rho_ql_kind,rho_qs,rho_qs_kind,rho_sl,rho_sl_kind,rows,s_active,scale_cost_after_continuous,scale_cost_before_continuous,scale_gram_condition,scale_gram_rank,scale_max_basis_stationarity,scale_multiplier_applied,scale_multiplier_continuous,scale_repair_kind,search_family,selected_for_expensive_family_expansion,selected_within_layer_target,serialized_alignment_guard_bytes,serialized_allocation_budget_file_bytes,serialized_rate_cap_satisfied,sparse_fraction,sparse_nnz,sparse_scales_padding_bits,sparse_scales_raw_bits,sparse_scales_stored_bits,sparse_support_padding_bits,sparse_support_raw_bits,sparse_support_stored_bits,sparse_values_padding_bits,sparse_values_raw_bits,sparse_values_stored_bits,strategy,strict_sparse_refit,superseded_by_global_allocator,support_encoding,target_gap,target_ratio,token_risk_p95,under_target,worst_token_risk
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,128,6.401381492614746,92995584,0.2578125,1,symmetric_rtn,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,True,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,16,,,,,,,,,,,,,,,,,,,,,,,,,,4,128,6.401381492614746,92995584,0.2578125,2,symmetric_rtn,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,True,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,128,6.541964530944824,92995584,0.2578125,3,symmetric_mse_clip,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,16,,,,,,,,,,,,,,,,,,,,,,,,,,4,128,6.541964530944824,92995584,0.2578125,4,symmetric_mse_clip,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,7.7342023849487305,90353664,0.25048828125,5,symmetric_mse_clip,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,16,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,7.7342023849487305,90353664,0.25048828125,6,symmetric_mse_clip,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,11.514769554138184,90353664,0.25048828125,7,symmetric_rtn,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,16,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,11.514769554138184,90353664,0.25048828125,8,symmetric_rtn,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,True,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,128,25.852752685546875,70451200,0.1953125,9,symmetric_mse_clip,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,model.layers.0.mlp.gate_proj,,16,,,,,,,,,,,,,,,,,,,,,,,,,,3,128,25.852752685546875,70451200,0.1953125,10,symmetric_mse_clip,,,,,,,,,,,,,,,,,,,,,,,,,,heterogeneous_family_q_only_prescreen,False,,,,,,,,,,,,,,,,global_candidate_family,,,,,0.3,,,
